district,month,category,unit_qty,unit_price,unit_total_cost
District 1,January,Mentors,2,5,10
District 1,January,Food,14,2.1500001,30.100002
District 1,January,Food,14,1.95,27.300001
District 1,January,Food,5,1.53,7.6499996
District 1,January,Food,12,1.9400001,23.280001
District 1,January,Office supplies,2,2.6900001,5.3800001
District 1,January,Office supplies,15,.86000001,12.900001
District 1,January,Office supplies,2,2.9100001,5.8200002
District 1,January,Office supplies,18,.23,4.1399999
District 1,January,Office supplies,13,.63,8.1899996
District 1,January,Food,8,1.22,9.7600002
District 1,January,Food,14,.090000004,1.26
District 1,January,Office supplies,2,.87,1.74
District 1,January,Food,10,1.3200001,13.200001
District 1,January,Food,3,1.91,5.73
District 1,January,Office supplies,15,2.99,44.849998
District 1,January,Office supplies,6,.77999997,4.6799998
District 1,January,Office supplies,13,2.8,36.399998
District 1,January,Food,9,2.1300001,19.170002
District 1,January,Food,16,2.52,40.32
District 1,February,Mentors,2,5,10
District 1,February,Office supplies,8,1.15,9.1999998
District 1,February,Office supplies,18,2.8800001,51.840004
District 1,February,Office supplies,15,.75999999,11.4
District 1,February,Office supplies,17,1.74,29.58
District 1,February,Food,8,2.1700001,17.360001
District 1,February,Office supplies,17,2.04,34.68
District 1,February,Office supplies,4,.74000001,2.96
District 1,February,Office supplies,5,1.29,6.4499998
District 1,February,Office supplies,18,1.34,24.120001
District 1,February,Food,15,2.1199999,31.799999
District 1,February,Food,8,2.6800001,21.440001
District 1,February,Office supplies,11,.28999999,3.1899998
District 1,February,Food,2,.99000001,1.98
District 1,February,Office supplies,17,.61000001,10.37
District 1,February,Office supplies,14,1.26,17.639999
District 1,February,Food,18,1.54,27.719999
District 1,February,Food,18,.47999999,8.6399994
District 1,February,Food,7,.51999998,3.6399999
District 1,March,Mentors,2,5,10
District 1,March,Food,20,1.22,24.400002
District 1,March,Office supplies,19,.49000001,9.3100004
District 1,March,Food,1,1.8200001,1.8200001
District 1,March,Food,13,1.67,21.709999
District 1,March,Food,11,2.24,24.639999
District 1,March,Food,3,.22,.65999997
District 1,March,Office supplies,15,1.4,21
District 1,March,Office supplies,6,2.26,13.559999
District 1,March,Office supplies,8,2.21,17.68
District 1,March,Food,1,.85000002,.85000002
District 1,March,Food,15,2.0599999,30.9
District 1,March,Food,14,1.2,16.800001
District 1,March,Office supplies,2,2.8,5.5999999
District 1,March,Food,11,1.2,13.200001
District 1,March,Food,16,2.6099999,41.759998
District 1,March,Food,12,.2,2.4000001
District 1,March,Office supplies,17,.14,2.3800001
District 1,March,Food,5,1.23,6.1500001
District 1,March,Office supplies,18,.69,12.42
District 1,April,Mentors,2,5,10
District 1,April,Food,17,2.3,39.099998
District 1,April,Office supplies,20,1.12,22.4
District 1,April,Food,19,2.71,51.490002
District 1,April,Office supplies,14,1.59,22.26
District 1,April,Office supplies,6,1.46,8.7600002
District 1,April,Office supplies,9,.5,4.5
District 1,April,Food,11,0,0
District 1,April,Food,15,.92000002,13.8
District 1,April,Office supplies,2,.37,.74000001
District 1,April,Food,19,2,38
District 1,April,Food,6,.20999999,1.26
District 1,April,Office supplies,2,2.29,4.5799999
District 1,April,Food,13,1.91,24.83
District 1,April,Office supplies,7,2.5,17.5
District 1,April,Food,15,1.4299999,21.449999
District 1,April,Food,10,.69,6.9000001
District 1,April,Food,18,2.6099999,46.98
District 1,April,Office supplies,18,.57999998,10.44
District 1,May,Mentors,2,5,10
District 1,May,Office supplies,17,.95999998,16.32
District 1,May,Food,4,1.25,5
District 1,May,Food,4,2.4100001,9.6400003
District 1,May,Office supplies,4,2.6500001,10.6
District 1,May,Food,19,1.08,20.52
District 1,May,Office supplies,5,2.3900001,11.950001
District 1,May,Office supplies,7,.67000002,4.6900001
District 1,May,Food,10,.76999998,7.6999998
District 1,May,Office supplies,18,2.29,41.220001
District 1,May,Food,19,1.4299999,27.169998
District 1,May,Food,15,1.58,23.700001
District 1,May,Food,18,.49000001,8.8199997
District 1,May,Food,2,1.04,2.0799999
District 1,May,Office supplies,9,2.5999999,23.4
District 1,May,Food,6,2.04,12.24
District 1,May,Office supplies,18,1.75,31.5
District 1,May,Office supplies,2,1.74,3.48
District 1,May,Food,11,2.1700001,23.870001
District 1,May,Office supplies,8,2.1700001,17.360001
District 1,June,Mentors,2,5,10
District 1,June,Food,2,1.85,3.7
District 1,June,Food,10,1.74,17.4
District 1,June,Food,1,1.38,1.38
District 1,June,Food,4,.20999999,.83999997
District 1,June,Food,6,1.97,11.82
District 1,June,Food,14,.02,.28
District 1,June,Food,15,1.0700001,16.050001
District 1,June,Food,18,1,18
District 1,June,Food,19,2.9200001,55.480003
District 1,June,Office supplies,19,.69999999,13.3
District 1,June,Office supplies,4,.72000003,2.8800001
District 1,June,Office supplies,14,1.1799999,16.519999
District 1,June,Food,16,2.8499999,45.599998
District 1,June,Office supplies,9,2.1500001,19.35
District 1,July,Mentors,2,5,10
District 1,July,Office supplies,6,.94,5.6399999
District 1,July,Office supplies,9,1.8099999,16.289999
District 1,July,Food,3,2.6400001,7.9200001
District 1,July,Food,1,1.22,1.22
District 1,July,Food,19,1.13,21.469999
District 1,July,Food,1,1,1
District 1,July,Food,18,1.41,25.379999
District 1,July,Office supplies,10,1.29,12.9
District 1,July,Food,14,1.71,23.940001
District 1,July,Office supplies,16,2.71,43.360001
